image_name,extracted_text,label
98034.png,No text found.,1
97805.png,"excuse the shit out of
HTT Ue Ce a
(id you just threaten me?",1
98067.png,"and i bring the white Pee
PSE Ee TTS

WCE ETT

OTUs Cea CC",1
97845.png,No text found.,1
97815.png,"manditory vaccinations mT “«:
‘ exemptions Los

an
ae

 

’ ‘yA
illo ee ee ba

S

 

z",1
97842.png,No text found.,1
97823.png,"SOVOUKnoWw/allottabout

OTe -
Pa .
— es =

‘wis =",1
97836.png,"BLU @ IT
hillary's leg!",1
98016.png,"WATS To OM wees

 

A

NY",1
97832.png,"CCU eT eT 6, 1922- may 1998)",0
97816.png,No text found.,1
98047.png,No text found.,1
97814.png,"CA Ma a hater i yuna ite.

   

on. Sn PETERS eNO
Of anyone but amuslinvholding/ahuman head?",1
98057.png,"\ — backininyiday

  

 Shlowinatranny-
ATA",1
97826.png,"allahiiiascleariyisaid
iufauiranie hyn 5)
e 1K

as

   

a ee :

“ aayega \. modihi",1
98103.png,"aS Wold
Ia

 

TAINAN",1
98241.png,| Me twererting imo mosiims,1
98350.png,"(omer ior

  
  
 

¥ is

martin iene Cem diem",1
98345.png,No text found.,1
98362.png,No text found.,1
98176.png,"I hate People who drive
ues Ike these

=o.

on

a

WEIGEIAVOUIKATIe)",1
98105.png,"Z
(ATs
vies -
ESE a
eee
~»

  

     
 

ter.
Wine iesitale
of Ae ny",1
98134.png,"OPEL
ELIT plays ATCO COOL",0
98305.png,"TEA Oe la

 

PTR RIT TTT handcuffs",1
98170.png,No text found.,1
98351.png,"¥ at y bur ‘hae 2
OTE LUI rire d
Moot orthe wa

would fracture.t I",1
98316.png,ameoult have,0
98245.png,No text found.,1
98307.png,No text found.,1
98145.png,A,0
98340.png,"muslim wife

Y

4 : 3 )
P o, 4

CT

for herhushand",1
98154.png,No text found.,1
98157.png,Wien theweekent De,0
98271.png,"this ishowla'snakejsimouth
TCS fromthe insite!

x i
2

He
UT Ta LUT Ce Cee DT",1
98215.png,No text found.,1
98364.png,No text found.,1
98163.png,"y

brome limits :",0
98246.png,"OURS UE CLES

 

TRE TTS oie
UE Re
mindlessly preach hate?",1
98203.png,Nie and israel rats TT) Hh i ETC,1
98124.png,large Igiiag,1
98314.png,Ta Eo ed,0
98357.png,No text found.,1
98256.png,"CUTER URC
me whenshig,got home.

   

she mustbe homeless.",1
98270.png,mendays TH the days,0
98125.png,"Bis

INTERNATIONAL
SAN

  
    

aA:
=P jo

eee
Sts
=u

ta
=f

7
TUE Cree

a a molesters?",1
98243.png,No text found.,1
98137.png,No text found.,1
98346.png,No text found.,1
98235.png,"fashion Try ‘
ee : i‘;

a",1
98276.png,No text found.,1
98543.png,OTe,1
98367.png,"mimeans

LCS TOT",1
98567.png,PeT EST Ca par the hay open,1
98427.png,"flash drive hat plag

 

fOmWhenvoureally
Wait to hack thatass mp",1
98571.png,"Wid the fuck is putti
heir taint on the hee",1
98426.png,"ELEM UU ETL
WUE cea LCE
WAC Ce)",1
98564.png,"look your dad inet oats. Leanned ML..SOTn
oy > = ’ 2 . -",1
98461.png,"when you finally buy a dishwasher

this works a 1 Petter than a sponge",1
98514.png,No text found.,1
98542.png,COMOUMEMTSELI MEAT RSTO Tee nT) :,1
98523.png,"a

    
 

TN Ancient sy bes fee
coming, homeyirom it in ms",1
98406.png,"when Malem of yom
autistic irothenMouhaeia io sell
(iim to the local icf",1
98416.png,this is hd out of,0
98531.png,"Perio sce
foryour health

Rccetonn
GORE UE NREL
ndithey all died",1
98530.png,Getthelhelfoutimustim',1
98412.png,"OG
CANA",0
98504.png,"»

ae

 

STITT Re",1
98517.png,"ly “Teenie
oe ee _<",1
98526.png,No text found.,1
98547.png,tan aVPT ACL: Rha,1
98573.png,"shiysensi] Rant pee eat io
Caneel:

 

 

 

Tn alone to cal thts mans whole career",1
98463.png,No text found.,1
98473.png,"My
il y

 

    

(| tori el aN TS eT Tees ui",1
98561.png,No text found.,1
98506.png,No text found.,1
98537.png,No text found.,1
98501.png,"ie |_

eT Se) ATL

fe",1
98374.png,"ant TOUT Weanitt

 

Mg OAS
(IGEN BT ee",1
98421.png,"LOU ERO EROTIC Ca UU SS
MUTE RESEDA ODUL

 

neti qT 1
Prats Slo, |",1
98425.png,oY,0
98574.png,hlasts meme ent DELO ATES,1
98457.png,"MERI eR LIL
f

   

wholeanich cu
SMAI",1
98601.png,"iG
ay",0
98716.png,"THAD ONE peal
s | /",1
98721.png,iatie fies inisties,1
98724.png,"TEMES TST ences
7

 

MObOU hats an ove",1
98632.png,"hastilic jews
DrOiclent In te torah",1
98720.png,"pea TOU Wite just died oliio

TOM dAnoiter and youre
ST injtheroomwith
nakedgusthorn daughter",1
98734.png,"things white people do

Wee
Tia Meas

  

ras
@ yd Sh
* qT
aad 5 a UT
y -
; ) em
art i om
' Cre

Per Ukaue rae",1
98627.png,"LUISE ee Cee LG

)

 

hen theyseea muslin",1
98670.png,SHAM,1
98714.png,No text found.,1
98752.png,No text found.,1
98624.png,"| lal
De
cs
oS
. Ll
—
=
2
a
=
St]",1
98736.png,No text found.,1
98731.png,"ts

f PED CL FE",1
98654.png,No text found.,1
98603.png,"Claries Martel rom the 1a Weal
{| ie exilains how he Len trace s
Y tai
mosis

 
 
   

| SISRMOCraL ¢
of thosejsalayes",1
98653.png,what's that burning?,1
98657.png,| Vv white person,1
98625.png,"HC Ese

a MEM ras
Tica art",1
98637.png,No text found.,1
98751.png,":
Pom soi

i)",1
98723.png,No text found.,1
98754.png,No text found.,1
98756.png,"USA SOS ag
Same restroom as your laughter",1
98726.png,"my Senseonhumoris

 

Ce B ao
so dark itpicks this",1
98643.png,"Wa
Tao Ae Fr
Tey oir in",0
98764.png,No text found.,1
98702.png,TNO TET,1
98762.png,No text found.,1
98701.png,CHO GALE oTe,1
98642.png,"ESA UCR POEMS LASS

aN |",1
01247.png,you can‘ige racist if,1
01256.png,"whenWwourdehit card
dlecliiig aun abortion

   

amit tan nm
tlie haly hack in",1
01258.png,No text found.,1
01269.png,eo PMH ) y,1
01268.png,"(ALDET And Cancer honchne
{tine fs tihe best
1
cu
Ishi tmemauces",1
01274.png,"'

""

ATED VE OUT TT tase

 

é |

Ww

taba renso",1
01264.png,you're aspecial kinda nuts,0
05612.png,Of alltime the most underrated,0
05614.png,No text found.,1
05489.png,"(CUD Sis he doesnt Ihe STIDIMESsOrS,",1
05483.png,"On) thy more wile

Issel encase

     

AMINA RUN I",1
05498.png,No text found.,1
05617.png,"ithoughiinyoursaid netilix & chill

TONS MOREL CR TUS DIL",1
05968.png,No text found.,1
05931.png,"SO

  

Chupacabra in real lite?",1
05978.png,"CIP ar rer ued)

-",1
06195.png,No text found.,1
06239.png,CANCE MET EI COON,0
06197.png,ask a police officer's wife,1
05914.png,No text found.,1
05986.png,"jg Cece TT
ec",1
05941.png,"I ar ee ‘on the scree
to'getonestheyseem Mot TaN",1
05973.png,No text found.,1
05942.png,"your majesty. rT
Pee CEL a)
RCM Cet",1
06127.png,No text found.,1
05987.png,"interracial dating

i
as

SUC Ce",1
06123.png,No text found.,1
06198.png,"RULE TILE SIUISSIEKITOnY
chi 2019m

constant military

 

bomb explosions!""",1
06153.png,TUTTE UCL re CTh@. (1) eer,1
06237.png,"when leadership says
TS UE a

    

hutit's
TCM ATT eT Cy a",1
05948.png,0 (pul Up in ils amt Nell,1
06218.png,EL OF <,0
06158.png,"ue ee a TE
eo “es",1
05936.png,"ilwas Benue, TRU eR el mt
sy agree ee",1
05918.png,"i
Vy

histor

c

ath

mt

he
meas

it

 

i",1
06157.png,TL ~,0
05976.png,"Wile does our tthe ein)
alhandignenate hav

 

COO UCL)
and your howsejis gone",1
06179.png,"METRO ee UAT um

   

FuThe goat hieaps suet)",1
05943.png,"4 and Ted TER
Sel @niiaithiets ie",1
06273.png,"em ce LICL sauatl

ly eet
on ei",1
06135.png,ATA TIASIONM fhe care onthe,1
05926.png,"ern
ANON

don tiorget t
homb forward",1
06194.png,"burning things that don't
WCET CL",1
05972.png,No text found.,1
05938.png,Inthe|mustimiworld,0
05917.png,"STENNEMNAWKING
(OMCIMAALLAS a Chair",1
05928.png,"just because she weighed as much as two people,",1
06125.png,"~~ fitima ask thiss™
aliulestion only once",1
06231.png,"He AULT BOT LTAUTSSoEID
y P",1
06175.png,WHEnSOMeONEIKONSta ENN,1
05984.png,"\ yA Ice ery ee
ss OTS CTL Ce COLT Sis

URIS aad

a
—

fs
remotes Dosh with chemicals
GUOITOU loses his Sit",1
06248.png,"MANTEL newt

.",1
05916.png,this is my grenade so blow mefny,1
06147.png,"hi Itsthe

“this isthe qur'an
islamic.sacred book",0
06243.png,No text found.,1
05947.png,No text found.,1
06213.png,"\ dar ep sxfre,
ae

rect a a
ee TTS tee Vee -",1
06387.png,ad que ris iiiled nya drone,1
06359.png,"what women think theyjll do when the economyeniianses vs

;",1
06352.png,"?

anditheniifasked|mom,",1
06315.png,No text found.,1
06329.png,No text found.,1
06345.png,"SOC RATEeT Rose (CT
MSS ecUt RU Ee

 
 

(Tem CAH DAL

me al you collect

TOM TNA eM Tas oe",1
06348.png,Montene COENEN,0
06439.png,No text found.,1
06375.png,"e have peace
4

eS",0
06471.png,"Cz

 
  
 

eT Te eT)
evil White onntessors
AS

ay pS

ie

OMEN eins
arehisnarents!",1
06374.png,No text found.,1
06513.png,"wanda
VOUNGOMNOTOUG",1
06319.png,"OOOO OT eT
to ro TY
huilding to destro}

tat",1
06479.png,"whemyouvestinaliyinecomern|eontant
SEGA TREIIN a)
as).

y®@ , a
| MS UT ifrieviisie",1
06458.png,COT tired of,1
06412.png,No text found.,1
06349.png,"they still think
) DEST

      

they still think
ima chick",1
06392.png,"(ont ioral OmNs

 

many Is uy your
ANEW OUNIMONE",1
06275.png,"ite ented Pn
TPA MS COLOUR",1
06519.png,"moutain goaishilewhen
they hearallahiaktar,

|
hecausetheyhere
the goat fuckersjarecoming",1
06482.png,"idont always make-sandwiches

es
oan A
4
%

because im nota woman",1
06524.png,No text found.,1
06531.png,"i don't always have
Nh balls

 

   

aT men I hay Dita aM Tay
EME NEE)

duringsnriny break and

STU OER TET Ee",1
06435.png,No text found.,1
06514.png,Ti Suit,0
06431.png,when the employeetasks,1
06534.png,STAINS TO ae IOUS,1
06415.png,No text found.,1
06418.png,"Ce

Cn a
et)

~o aN
et Dien, S
PP rye BN",1
06291.png,No text found.,1
06427.png,No text found.,1
06491.png,"Pi;

| ner",1
06357.png,"nt time to’Stopmthis)
| |",1
06425.png,"ee Ee ade) °
problem,with,me..call me

 

CO CE RU el
then that means you don't know me well
OIE eM a",1
06489.png,"‘i

   

a el IS requir

when you have shit forbrains",1
06295.png,No text found.,1
