image,text
98034.png,these aren t people
97805.png,amwuime mydlog growks at me MA excuse the shit out Of My goddamn french; but did vou just threaten me?
98067.png,sometimes; @ crunch m mvjizwhenit dries and i bring the white powder t0 marties and watch people snOrt IIIV cock sand do this all the time
97845.png,not all black people are criminals
97815.png,manditory vaccinations with n0 exemptions do nazi the problem:
97842.png,There $ SO much Mhile trash in this picitre  ACJA i bbarely know (ral where to start!
97823.png,"SO VOu know a otabbout politics?y please , dlo continue to repeat everything pour [arents have @oldgou"
97836.png,start the carLLL ijust peed 0n hillary's leg!
98016.png,Uhanks t0 jolhn deere black lives haven't mattered Tor a long dme
97832.png,"miggle merer [bunangbodi:"" dorothy donegan (anril 6, 1922- may 1998)"
97816.png,good skeleton
98047.png,mever trust momen
97814.png,call me a [bater [you [amd bul when is the Iast time voU saw a photo ofanyone but a muslim holding a human head?
98057.png,back im m day blowin a tranmy Was car trouble
97826.png,allalh [has ellearly said d0 quram @mh m0- 45 verse 778 pe aavega to0 modi hi
98103.png,@emoves pvolish With chemicals mobod bats aneve removes polishh wfth chemicals eTeThoigloseshis shil
98241.png,"dom""t mimd me just watering] mv mustims"
98350.png,flowers fr martim [tuher Hiing daw
98345.png,Uhis one diime at camQ we got $O baked
98362.png,it's ma'am Iook found a penis
98176.png,[ate people @ho diive @iucks [ike dhese @e gew EL vou rape
98105.png,e 4uccr 'O Emede Whal gIVS envision leshiam Iook Jike What [lesbbians reallivlook Iike
98134.png,"when vou recorded 3times ""talak' in vour abbu voice and plays itin front of vour mum becuase oq wamna fuck hher after divorce ve Qhai digital buslim"
98305.png,hiliary i'm coming after VOu and i'm bringing handcuffs
98170.png,"[acl""s iks presemts messing with sasquatch"
98351.png,"each oven could only burn less than 600O bodies per vear, or the metal would fracture tone"
98316.png,icould have trantuilized that gorilla amd i could have gralbed that kid what kid?
98245.png,[hheres jaws whem you meed Diim ?
98307.png,how t0 pick chicks in auschwitz
98145.png,cantt ged emough save [alestinian kids
98340.png,muslim wife wearing sexy lingerie for her hushand
98154.png,time for Qv10Oth selfie @f @ie day
98157.png,@en the [eehend bits VS_ momday monnimg
98271.png,"this iS how a Smake's mouth looks from the inside, think everything is clear IOW"
98215.png,dom't moue and give me Vour money
98364.png,white people know thysell
98163.png,i soviet ameriika government Himits vou=l
98246.png,"trump supporters because why learn the facts, when Vou can mindlessly preach hate?"
