image_name,extracted_text,label
98034.png,No text found.,
97805.png,"excuse the shit out of
HTT Ue Ce a
(id you just threaten me?",
98067.png,"and i bring the white Pee
PSE Ee TTS

WCE ETT

OTUs Cea CC",
97845.png,No text found.,
97815.png,"manditory vaccinations mT “«:
‘ exemptions Los

an
ae

 

’ ‘yA
illo ee ee ba

S

 

z",
97842.png,No text found.,
97823.png,"SOVOUKnoWw/allottabout

OTe -
Pa .
— es =

‘wis =",
97836.png,"BLU @ IT
hillary's leg!",
98016.png,"WATS To OM wees

 

A

NY",
97832.png,"CCU eT eT 6, 1922- may 1998)",
97816.png,No text found.,
98047.png,No text found.,
97814.png,"CA Ma a hater i yuna ite.

   

on. Sn PETERS eNO
Of anyone but amuslinvholding/ahuman head?",
98057.png,"\ — backininyiday

  

 Shlowinatranny-
ATA",
97826.png,"allahiiiascleariyisaid
iufauiranie hyn 5)
e 1K

as

   

a ee :

“ aayega \. modihi",
98103.png,"aS Wold
Ia

 

TAINAN",
98241.png,| Me twererting imo mosiims,
98350.png,"(omer ior

  
  
 

¥ is

martin iene Cem diem",
98345.png,No text found.,
98362.png,No text found.,
98176.png,"I hate People who drive
ues Ike these

=o.

on

a

WEIGEIAVOUIKATIe)",
98105.png,"Z
(ATs
vies -
ESE a
eee
~»

  

     
 

ter.
Wine iesitale
of Ae ny",
98134.png,"OPEL
ELIT plays ATCO COOL",
98305.png,"TEA Oe la

 

PTR RIT TTT handcuffs",
98170.png,No text found.,
98351.png,"¥ at y bur ‘hae 2
OTE LUI rire d
Moot orthe wa

would fracture.t I",
98316.png,ameoult have,
98245.png,No text found.,
98307.png,No text found.,
98145.png,A,
98340.png,"muslim wife

Y

4 : 3 )
P o, 4

CT

for herhushand",
98154.png,No text found.,
98157.png,Wien theweekent De,
98271.png,"this ishowla'snakejsimouth
TCS fromthe insite!

x i
2

He
UT Ta LUT Ce Cee DT",
98215.png,No text found.,
98364.png,No text found.,
98163.png,"y

brome limits :",
98246.png,"OURS UE CLES

 

TRE TTS oie
UE Re
mindlessly preach hate?",
98203.png,Nie and israel rats TT) Hh i ETC,
98124.png,large Igiiag,
98314.png,Ta Eo ed,
98357.png,No text found.,
98256.png,"CUTER URC
me whenshig,got home.

   

she mustbe homeless.",
98270.png,mendays TH the days,
98125.png,"Bis

INTERNATIONAL
SAN

  
    

aA:
=P jo

eee
Sts
=u

ta
=f

7
TUE Cree

a a molesters?",
98243.png,No text found.,
98137.png,No text found.,
98346.png,No text found.,
98235.png,"fashion Try ‘
ee : i‘;

a",
98276.png,No text found.,
98543.png,OTe,
98367.png,"mimeans

LCS TOT",
98567.png,PeT EST Ca par the hay open,
98427.png,"flash drive hat plag

 

fOmWhenvoureally
Wait to hack thatass mp",
98571.png,"Wid the fuck is putti
heir taint on the hee",
98426.png,"ELEM UU ETL
WUE cea LCE
WAC Ce)",
98564.png,"look your dad inet oats. Leanned ML..SOTn
oy > = ’ 2 . -",
98461.png,"when you finally buy a dishwasher

this works a 1 Petter than a sponge",
98514.png,No text found.,
98542.png,COMOUMEMTSELI MEAT RSTO Tee nT) :,
98523.png,"a

    
 

TN Ancient sy bes fee
coming, homeyirom it in ms",
98406.png,"when Malem of yom
autistic irothenMouhaeia io sell
(iim to the local icf",
98416.png,this is hd out of,
98531.png,"Perio sce
foryour health

Rccetonn
GORE UE NREL
ndithey all died",
98530.png,Getthelhelfoutimustim',
98412.png,"OG
CANA",
98504.png,"»

ae

 

STITT Re",
98517.png,"ly “Teenie
oe ee _<",
98526.png,No text found.,
98547.png,tan aVPT ACL: Rha,
98573.png,"shiysensi] Rant pee eat io
Caneel:

 

 

 

Tn alone to cal thts mans whole career",
98463.png,No text found.,
98473.png,"My
il y

 

    

(| tori el aN TS eT Tees ui",
98561.png,No text found.,
98506.png,No text found.,
98537.png,No text found.,
98501.png,"ie |_

eT Se) ATL

fe",
98374.png,"ant TOUT Weanitt

 

Mg OAS
(IGEN BT ee",
98421.png,"LOU ERO EROTIC Ca UU SS
MUTE RESEDA ODUL

 

neti qT 1
Prats Slo, |",
98425.png,oY,
98574.png,hlasts meme ent DELO ATES,
98457.png,"MERI eR LIL
f

   

wholeanich cu
SMAI",
98601.png,"iG
ay",
98716.png,"THAD ONE peal
s | /",
98721.png,iatie fies inisties,
98724.png,"TEMES TST ences
7

 

MObOU hats an ove",
98632.png,"hastilic jews
DrOiclent In te torah",
98720.png,"pea TOU Wite just died oliio

TOM dAnoiter and youre
ST injtheroomwith
nakedgusthorn daughter",
98734.png,"things white people do

Wee
Tia Meas

  

ras
@ yd Sh
* qT
aad 5 a UT
y -
; ) em
art i om
' Cre

Per Ukaue rae",
98627.png,"LUISE ee Cee LG

)

 

hen theyseea muslin",
98670.png,SHAM,
98714.png,No text found.,
98752.png,No text found.,
98624.png,"| lal
De
cs
oS
. Ll
—
=
2
a
=
St]",
98736.png,No text found.,
98731.png,"ts

f PED CL FE",
98654.png,No text found.,
98603.png,"Claries Martel rom the 1a Weal
{| ie exilains how he Len trace s
Y tai
mosis

 
 
   

| SISRMOCraL ¢
of thosejsalayes",
98653.png,what's that burning?,
98657.png,| Vv white person,
98625.png,"HC Ese

a MEM ras
Tica art",
98637.png,No text found.,
98751.png,":
Pom soi

i)",
98723.png,No text found.,
98754.png,No text found.,
98756.png,"USA SOS ag
Same restroom as your laughter",
